Lead_ID,Lead_Date,MQL_Date,SQL_Date,Opportunity_Date,Won_Date,Deal_Value,Sales_Cycle_Days,Company_Name,Industry,Company_Size,Region,Lead_Source,Sales_Rep,Product_Interest,Engagement_Score,Lead_Status
L00001,2025-03-02,,,,,0,,Company_1,Manufacturing,Enterprise,Central,Google Ads,Priya,CRM Software,27,MQL
L00002,2025-08-19,,,,,0,,Company_2,Education,Small,Central,LinkedIn,Vikash,Cybersecurity,84,Opportunity
L00003,2025-01-04,2025-01-07,2025-01-10,,,0,,Company_3,Retail,Small,East,LinkedIn,Sneha,CRM Software,75,MQL
L00004,2025-01-14,2025-01-21,,,,0,,Company_4,Retail,Small,North,Webinar,Arjun,Cloud Solutions,97,Won
L00005,2025-09-21,2025-09-22,,,,0,,Company_5,Manufacturing,Mid-Market,North,Email Campaign,Vikash,Analytics Platform,83,Opportunity
L00006,2025-07-09,,,,,0,,Company_6,Retail,Enterprise,East,Trade Show,Priya,ERP Software,85,MQL
L00007,2025-11-10,2025-11-16,2025-11-23,,,0,,Company_7,Manufacturing,Enterprise,North,Referral,Vikash,CRM Software,71,MQL
L00008,2025-03-20,,,,,0,,Company_8,Manufacturing,Mid-Market,North,Referral,Neha,ERP Software,46,Lead
L00009,2025-05-24,2025-05-30,2025-06-05,,,0,,Company_9,Healthcare,Small,West,Website,Priya,Cloud Solutions,25,Opportunity
L00010,2025-04-26,2025-04-30,,,,0,,Company_10,Technology,Small,East,Webinar,Sneha,Analytics Platform,73,Lost
L00011,2025-12-05,2025-12-07,,,,0,,Company_11,Retail,Enterprise,West,Website,Arjun,CRM Software,47,SQL
L00012,2025-10-11,,,,,0,,Company_12,Finance,Mid-Market,Central,Webinar,Priya,ERP Software,34,SQL
L00013,2025-09-09,,,,,0,,Company_13,Retail,Small,Central,LinkedIn,Priya,Cybersecurity,32,Opportunity
L00014,2025-01-02,2025-01-04,2025-01-14,2025-01-24,2025-02-20,363547,49.0,Company_14,Education,Small,South,LinkedIn,Vikash,Analytics Platform,26,Lead
L00015,2025-02-28,,,,,0,,Company_15,Retail,Small,South,LinkedIn,Arjun,CRM Software,95,Lost
L00016,2025-05-31,,,,,0,,Company_16,Retail,Mid-Market,West,Email Campaign,Sneha,Analytics Platform,38,SQL
L00017,2025-04-03,,,,,0,,Company_17,Education,Mid-Market,East,Webinar,Amit,ERP Software,71,Lead
L00018,2025-02-28,2025-03-04,,,,0,,Company_18,Manufacturing,Enterprise,Central,Trade Show,Amit,Cloud Solutions,91,Lost
L00019,2025-07-20,2025-07-22,,,,0,,Company_19,Logistics,Enterprise,Central,LinkedIn,Arjun,ERP Software,75,Won
L00020,2025-10-02,,,,,0,,Company_20,Education,Mid-Market,West,Google Ads,Amit,ERP Software,92,Lead
L00021,2025-12-12,2025-12-18,2025-12-23,,,0,,Company_21,Finance,Small,East,LinkedIn,Arjun,Cybersecurity,72,Lost
L00022,2025-10-07,,,,,0,,Company_22,Education,Small,South,Website,Neha,ERP Software,64,SQL
L00023,2025-11-21,,,,,0,,Company_23,Education,Mid-Market,East,Referral,Sneha,ERP Software,77,MQL
L00024,2025-05-26,2025-06-02,,,,0,,Company_24,Logistics,Small,East,Webinar,Neha,Analytics Platform,42,Lost
L00025,2025-06-09,,,,,0,,Company_25,Manufacturing,Small,West,Website,Vikash,Cybersecurity,76,SQL
L00026,2025-10-27,2025-10-30,2025-11-04,,,0,,Company_26,Technology,Mid-Market,West,Webinar,Rahul,Cybersecurity,86,SQL
L00027,2025-02-15,2025-02-17,,,,0,,Company_27,Finance,Small,East,Webinar,Sneha,ERP Software,97,MQL
L00028,2025-10-11,2025-10-12,,,,0,,Company_28,Manufacturing,Mid-Market,West,Referral,Rahul,Cybersecurity,83,Lead
L00029,2025-06-19,2025-06-25,,,,0,,Company_29,Manufacturing,Enterprise,West,Trade Show,Sneha,Cloud Solutions,30,Won
L00030,2025-10-31,2025-11-05,2025-11-13,2025-11-19,2025-12-13,411593,43.0,Company_30,Education,Mid-Market,East,LinkedIn,Priya,Analytics Platform,87,Lead
L00031,2025-12-10,,,,,0,,Company_31,Retail,Small,West,Website,Priya,Analytics Platform,85,MQL
L00032,2025-08-13,2025-08-15,2025-08-18,2025-08-26,,173097,,Company_32,Retail,Mid-Market,East,LinkedIn,Vikash,Analytics Platform,69,Opportunity
L00033,2025-01-22,2025-01-25,2025-02-03,,,0,,Company_33,Retail,Small,West,Google Ads,Sneha,Analytics Platform,100,MQL
