Lead_Month,total_leads,mqls,sqls,opportunities,won_deals,revenue,won_rate_pct
2025-01,851,536,355,177,95,90043102,11.163337250293772
2025-02,743,479,304,174,101,91239056,13.593539703903096
2025-03,878,592,386,221,124,117938601,14.123006833712983
2025-04,830,515,347,192,115,103337113,13.855421686746988
2025-05,823,525,333,182,99,95562798,12.029161603888214
2025-06,782,516,350,188,117,97701572,14.961636828644501
2025-07,866,567,381,211,131,109085764,15.1270207852194
2025-08,835,547,356,185,111,98607891,13.293413173652693
2025-09,833,538,364,212,124,115264510,14.8859543817527
2025-10,891,623,405,215,137,114407694,15.375982042648708
2025-11,828,517,347,185,109,92945555,13.16425120772947
2025-12,840,571,360,200,117,115994584,13.928571428571429
