Region,Industry,total_leads,won_deals,revenue,won_rate_pct
West,Finance,252,45,36941019,17.857142857142858
West,Retail,269,48,35148975,17.843866171003718
West,Technology,271,47,43621336,17.343173431734318
South,Retail,265,44,35334761,16.60377358490566
North,Education,256,42,34995649,16.40625
South,Technology,264,42,36879503,15.909090909090908
East,Finance,322,50,44531064,15.527950310559005
North,Retail,271,42,38738147,15.498154981549817
West,Manufacturing,307,47,41837900,15.309446254071663
East,Education,315,48,40141253,15.238095238095239
East,Technology,262,39,31260941,14.885496183206106
Central,Retail,304,45,43516024,14.802631578947366
South,Education,292,43,37816039,14.726027397260275
Central,Technology,265,39,35023015,14.716981132075471
South,Logistics,305,44,38533100,14.426229508196723
North,Technology,294,42,32778662,14.285714285714285
East,Logistics,294,42,33767260,14.285714285714285
North,Manufacturing,289,41,37539091,14.186851211072666
Central,Finance,295,41,42223641,13.898305084745763
South,Finance,291,40,33487798,13.745704467353953
Central,Logistics,264,36,29656733,13.636363636363635
West,Logistics,294,40,36150761,13.60544217687075
East,Manufacturing,284,38,37123549,13.380281690140844
North,Logistics,277,37,33692923,13.357400722021662
North,Finance,293,39,34954187,13.310580204778159
East,Healthcare,266,34,30570142,12.781954887218044
West,Healthcare,294,37,38225587,12.585034013605442
Central,Healthcare,285,34,33165895,11.929824561403509
North,Healthcare,293,34,34156196,11.604095563139932
Central,Manufacturing,311,35,30437140,11.254019292604502
Central,Education,284,31,34314813,10.915492957746478
East,Retail,317,34,35019432,10.725552050473187
West,Education,281,29,27468634,10.320284697508896
South,Healthcare,297,30,26059255,10.1010101010101
South,Manufacturing,277,21,27017815,7.581227436823104
